symbol,sector,p,r1,s1,breaking_level,breaking_type,breakout_timestamp,status
BANKBARODA,Financial Services,250.86666666666665,255.1333333333333,248.2833333333333,-,-,-,-
AXISBANK,Financial Services,1184.3666666666668,1204.4333333333336,1172.7333333333336,-,-,-,-
JINDALSTEL,Metals & Mining,903.1166666666667,917.1833333333334,893.4333333333334,-,-,-,-
EXIDEIND,Automobile and Auto Components,376.2,384.29999999999995,369.2,-,-,-,-
HINDUNILVR,Fast Moving Consumer Goods,2327.5333333333333,2340.0666666666666,2306.0666666666666,-,-,-,-
PAGEIND,Textiles,45001.666666666664,45543.33333333333,44643.33333333333,-,-,-,-
ASTRAL,Capital Goods,1361.2333333333333,1387.3666666666668,1344.6666666666667,-,-,-,-
PHOENIXLTD,Realty,1628.2333333333333,1646.5666666666666,1616.4666666666667,-,-,-,-
COLPAL,Fast Moving Consumer Goods,2678.1,2718.8999999999996,2653.7,-,-,-,-
APOLLOHOSP,Healthcare,7018.5,7082.5,6981.0,-,-,-,-
BAJAJFINSV,Financial Services,2061.5,2083.0,2028.1999999999998,-,-,-,-
PATANJALI,Fast Moving Consumer Goods,1943.7333333333333,1960.5666666666666,1914.8666666666668,-,-,-,-
ADANIPOWER,Power,550.5,559.75,543.5,-,-,-,-
ONGC,Oil Gas & Consumable Fuels,248.97666666666666,253.57333333333332,246.00333333333333,-,-,-,-
SWIGGY,Consumer Services,324.05,328.40000000000003,319.40000000000003,-,-,-,-
AUROPHARMA,Healthcare,1240.7666666666667,1266.6333333333332,1221.3333333333333,S1,Short,2025-04-29T09:40:00+05:30,Confirmed
PRESTIGE,Realty,1296.3666666666668,1343.1333333333337,1269.0333333333335,R1,Long,2025-04-29T09:45:00+05:30,Confirmed
M&M,Automobile and Auto Components,2919.2999999999997,2956.2999999999993,2893.5999999999995,-,-,-,-
COCHINSHIP,Capital Goods,1474.6666666666667,1545.4333333333334,1431.3333333333335,-,-,-,-
HAL,Capital Goods,4355.566666666667,4510.633333333333,4271.233333333334,R1,Long,2025-04-29T09:40:00+05:30,Confirmed
PREMIERENE,Capital Goods,998.5166666666668,1027.3333333333335,980.0333333333335,-,-,-,-
PIDILITIND,Chemicals,3028.566666666667,3065.633333333334,3005.733333333334,-,-,-,-
SUNPHARMA,Healthcare,1822.9333333333332,1864.6666666666663,1799.8666666666663,-,-,-,-
HDFCAMC,Financial Services,4405.033333333333,4467.966666666665,4366.366666666666,-,-,-,-
GAIL,Oil Gas & Consumable Fuels,188.75333333333333,191.66666666666666,186.40666666666667,R1,Long,2025-04-29T09:40:00+05:30,Confirmed
HCLTECH,Information Technology,1551.9333333333334,1566.7666666666669,1534.4666666666667,-,-,-,-
DABUR,Fast Moving Consumer Goods,483.4166666666667,486.6333333333334,478.98333333333335,-,-,-,-
TVSMOTOR,Automobile and Auto Components,2784.0,2858.0,2719.1,S1,Short,2025-04-29T09:45:00+05:30,Confirmed
EICHERMOT,Automobile and Auto Components,5610.166666666667,5669.833333333334,5562.333333333334,-,-,-,-
ABFRL,Consumer Services,271.3333333333333,278.8666666666666,266.26666666666665,-,-,-,-
TIINDIA,Automobile and Auto Components,2619.2000000000003,2673.1000000000004,2588.4000000000005,R2,Long,2025-04-29T09:40:00+05:30,Confirmed
BEL,Capital Goods,302.9166666666667,309.98333333333335,297.98333333333335,R1,Long,2025-04-29T09:40:00+05:30,Confirmed
INDUSINDBK,Financial Services,831.1333333333332,841.2166666666665,820.4666666666665,-,-,-,-
BPCL,Oil Gas & Consumable Fuels,304.68333333333334,316.26666666666665,298.4166666666667,-,-,-,-
ZYDUSLIFE,Healthcare,878.5,895.75,869.3,-,-,-,-
BANDHANBNK,Financial Services,164.29333333333332,166.82666666666665,161.72666666666663,R2,Long,2025-04-29T09:40:00+05:30,Confirmed
RELIANCE,Oil Gas & Consumable Fuels,1354.5333333333335,1388.866666666667,1334.4666666666672,-,-,-,-
INDUSTOWER,Telecommunication,407.75,411.85,404.0,-,-,-,-
TORNTPHARM,Healthcare,3306.933333333333,3373.866666666666,3268.0666666666657,-,-,-,-
WIPRO,Information Technology,240.4,242.05,238.85000000000002,-,-,-,-
MOTHERSON,Automobile and Auto Components,134.54333333333332,136.58666666666664,132.94666666666666,R2,Long,2025-04-29T09:40:00+05:30,Confirmed
HDFCLIFE,Financial Services,707.8166666666666,717.5333333333332,701.1333333333332,-,-,-,-
BANKINDIA,Financial Services,117.62333333333333,119.95666666666666,116.04666666666667,-,-,-,-
MAZDOCK,Capital Goods,2749.1333333333337,2852.1666666666674,2683.2666666666673,R1,Long,2025-04-29T09:40:00+05:30,Confirmed
CIPLA,Healthcare,1548.6666666666667,1571.4333333333334,1532.3333333333335,-,-,-,-
SIEMENS,Capital Goods,2892.0,2951.0,2857.5,R1,Long,2025-04-29T10:00:00+05:30,Confirmed
TATAMOTORS,Automobile and Auto Components,663.4333333333334,674.3166666666668,657.2666666666668,R1,Long,2025-04-29T09:40:00+05:30,Confirmed
MPHASIS,Information Technology,2486.6,2549.2,2440.7999999999997,-,-,-,-
CGPOWER,Capital Goods,633.25,641.35,625.5,-,-,-,-
RVNL,Construction,360.26666666666665,366.3833333333333,355.0833333333333,-,-,-,-
POLYCAB,Capital Goods,5557.0,5658.5,5496.5,-,-,-,-
KALYANKJIL,Consumer Durables,514.9333333333333,528.8666666666666,504.26666666666654,-,-,-,-
SBIN,Financial Services,812.5166666666665,827.6333333333331,802.2333333333331,-,-,-,-
SRF,Chemicals,3015.3333333333335,3080.666666666667,2974.966666666667,-,-,-,-
BHARATFORG,Automobile and Auto Components,1106.3666666666666,1130.7333333333331,1092.7333333333331,-,-,-,-
SHRIRAMFIN,Financial Services,616.1833333333333,636.2166666666666,601.9666666666666,-,-,-,-
GLENMARK,Healthcare,1394.8333333333333,1429.7666666666664,1372.6666666666665,-,-,-,-
LICI,Financial Services,799.3000000000001,811.4000000000001,791.6000000000001,-,-,-,-
ESCORTS,Capital Goods,3352.8333333333335,3390.466666666667,3321.766666666667,-,-,-,-
