symbol,sector,close,high,low,p,r1,r2,r3,r4,r5,s1,s2,s3,s4,s5,opening_high,opening_low,breaking_level,breaking_type,timestamp,breakout_timestamp,status
TCS,Information Technology,3400.5,3401.6,3400.0,3390.4,3443.5,3474.0,3527.1,3580.199999999999,3633.2999999999993,3359.9,3306.8,3276.3,3245.8,3215.300000000001,3402.6,3389.1,-,-,2025-04-24T11:50:00+05:30,-,-
M&MFIN,Financial Services,269.9,269.9,269.6,271.05,276.90000000000003,283.90000000000003,289.75000000000006,295.60000000000014,301.45000000000005,264.05,258.2,251.2,244.20000000000005,237.20000000000005,270.9,268.6,-,-,2025-04-24T11:50:00+05:30,-,-
INDHOTEL,Consumer Services,812.8,813.4,812.7,830.1833333333334,846.0666666666668,869.2333333333335,885.1166666666669,901.0000000000005,916.8833333333337,807.0166666666668,791.1333333333333,767.9666666666667,744.8,721.6333333333332,823.05,811.2,-,-,2025-04-24T11:50:00+05:30,-,-
IRB,Construction,49.0,49.0,48.95,48.35333333333333,49.24666666666666,49.89333333333333,50.78666666666666,51.68000000000001,52.57333333333332,47.70666666666666,46.81333333333333,46.166666666666664,45.52000000000001,44.873333333333335,48.89,48.3,-,-,2025-04-24T11:50:00+05:30,-,-
SBICARD,Financial Services,922.85,923.35,921.85,912.9166666666666,924.5333333333333,933.1666666666666,944.7833333333333,956.4000000000003,968.0166666666669,904.2833333333333,892.6666666666666,884.0333333333333,875.4000000000003,866.7666666666669,919.0,909.0,-,-,2025-04-24T11:50:00+05:30,-,-
BSE,Financial Services,6495.0,6495.0,6483.5,6374.333333333333,6523.666666666666,6608.333333333333,6757.666666666666,6907.0,7056.333333333332,6289.666666666666,6140.333333333333,6055.666666666666,5971.0,5886.333333333332,6494.0,6420.0,R1,Long,2025-04-24T11:50:00+05:30,2025-04-24T10:00:00+05:30,Confirmed
BHARTIARTL,Telecommunication,1849.7,1851.2,1849.7,1867.8666666666668,1899.6333333333337,1917.666666666667,1949.4333333333338,1981.2000000000012,2012.9666666666672,1849.8333333333335,1818.0666666666666,1800.0333333333333,1781.9999999999995,1763.9666666666672,1877.8,1858.7,-,-,2025-04-24T11:50:00+05:30,-,-
NTPCGREEN,Power,107.92,108.0,107.89,108.90333333333332,111.05666666666664,114.85333333333332,117.00666666666665,119.15999999999997,121.31333333333328,105.10666666666664,102.95333333333332,99.15666666666664,95.35999999999996,91.56333333333328,108.9,107.26,-,-,2025-04-24T11:50:00+05:30,-,-
SAIL,Metals & Mining,117.23,117.27,117.22,116.16666666666667,117.94333333333334,119.12666666666667,120.90333333333334,122.67999999999998,124.45666666666665,114.98333333333335,113.20666666666668,112.02333333333335,110.84000000000003,109.6566666666667,117.18,116.2,-,-,2025-04-24T11:50:00+05:30,-,-
LODHA,Realty,1312.5,1313.8,1310.8,1355.4,1380.8000000000002,1395.2,1420.6000000000001,1446.0000000000005,1471.4000000000005,1341.0000000000002,1315.6000000000001,1301.2000000000003,1286.8000000000006,1272.4000000000005,1380.3,1365.0,S2,Short,2025-04-24T11:50:00+05:30,2025-04-24T11:15:00+05:30,Confirmed
TATAPOWER,Power,396.85,397.0,396.5,390.8666666666666,399.53333333333325,404.6166666666666,413.28333333333325,421.95000000000005,430.61666666666656,385.78333333333325,377.1166666666666,372.03333333333325,366.95000000000005,361.86666666666656,395.4,391.9,-,-,2025-04-24T11:50:00+05:30,-,-
VOLTAS,Consumer Durables,1285.3,1285.7,1285.0,1313.0,1340.0,1381.0,1408.0,1435.0,1462.0,1272.0,1245.0,1204.0,1163.0,1122.0,1308.4,1288.0,-,-,2025-04-24T11:50:00+05:30,-,-
MARICO,Fast Moving Consumer Goods,710.9,711.2,710.55,714.35,721.6,726.65,733.9,741.1500000000001,748.4000000000001,709.3000000000001,702.0500000000001,697.0000000000001,691.9500000000003,686.9000000000001,718.35,712.1,-,-,2025-04-24T11:50:00+05:30,-,-
NATIONALUM,Metals & Mining,163.58,163.6,163.53,160.75666666666666,164.06333333333333,166.05666666666667,169.36333333333334,172.67000000000002,175.9766666666667,158.76333333333332,155.45666666666665,153.4633333333333,151.46999999999997,149.47666666666663,162.68,161.0,-,-,2025-04-24T11:50:00+05:30,-,-
CHOLAFIN,Financial Services,1545.0,1547.2,1545.0,1582.0,1604.8,1642.8,1665.6,1688.3999999999996,1711.1999999999998,1544.0,1521.2,1483.2,1445.1999999999998,1407.1999999999998,1570.9,1543.5,S1,Short,2025-04-24T11:50:00+05:30,2025-04-24T11:40:00+05:30,Confirmed
DRREDDY,Healthcare,1202.4,1205.0,1201.6,1184.5666666666666,1193.2333333333331,1200.4666666666665,1209.133333333333,1217.7999999999993,1226.4666666666662,1177.3333333333333,1168.6666666666667,1161.4333333333334,1154.2000000000003,1146.9666666666667,1191.4,1176.3,R2,Long,2025-04-24T11:50:00+05:30,2025-04-24T11:50:00+05:30,Confirmed
VMM,Consumer Services,111.58,111.6,111.58,111.34666666666668,112.64333333333336,114.79666666666668,116.09333333333336,117.39000000000004,118.68666666666672,109.19333333333336,107.89666666666668,105.74333333333335,103.59000000000003,101.43666666666672,111.53,110.56,-,-,2025-04-24T11:50:00+05:30,-,-
SHREECEM,Construction Materials,30350.0,30360.0,30335.0,30593.333333333332,30906.666666666664,31448.333333333332,31761.666666666664,32075.0,32388.33333333333,30051.666666666664,29738.333333333332,29196.666666666664,28655.0,28113.33333333333,30600.0,30315.0,-,-,2025-04-24T11:50:00+05:30,-,-
TATAELXSI,Information Technology,5855.0,5862.0,5854.0,5602.666666666667,5740.333333333334,5816.166666666667,5953.833333333334,6091.5,6229.166666666668,5526.833333333334,5389.166666666667,5313.333333333334,5237.5,5161.666666666668,5810.5,5664.0,R2,Long,2025-04-24T11:50:00+05:30,2025-04-24T09:35:00+05:30,Confirmed
SUPREMEIND,Capital Goods,3475.4,3477.3,3473.8,3510.0333333333333,3553.9666666666667,3581.9333333333334,3625.866666666667,3669.800000000001,3713.7333333333336,3482.0666666666666,3438.133333333333,3410.1666666666665,3382.2000000000007,3354.2333333333336,3526.4,3496.1,S1,Short,2025-04-24T11:50:00+05:30,2025-04-24T11:50:00+05:30,Confirmed
